event_token,event_span,doc_id,source_MATRES,source_TBD,source_OneIE,type,has_relations_TBD,events_AFTER_TBD,has_relations_MATRES,events_AFTER_MATRES
attack,[23993:23999),20413485,0,1,1,Conflict:Attack,1,"['[23713:23718)', '[24088:24093)', '[24105:24113)', '[24135:24143)']",0,[]
given,[24088:24093),20413485,0,1,0,--,0,[],0,[]
attacks,[24259:24266),20413485,0,1,1,Conflict:Attack,1,"['[24088:24093)', '[24105:24113)', '[24368:24374)', '[24443:24449)', '[24520:24528)', '[24533:24540)', '[24675:24682)']",0,[]
involvement,[24420:24431),20413485,0,1,0,--,1,"['[24520:24528)', '[24533:24540)']",0,[]
strikes,[24472:24479),20413485,0,1,1,Conflict:Attack,1,"['[24520:24528)', '[24533:24540)', '[24675:24682)']",0,[]
attacks,[24744:24751),20413485,0,1,1,Conflict:Attack,1,"['[24533:24540)', '[24764:24772)', '[24781:24786)', '[24813:24821)', '[24913:24920)', '[24921:24927)', '[24967:24975)', '[24985:24990)', '[25019:25026)']",0,[]
posed,[24781:24786),20413485,0,1,0,--,1,"['[24913:24920)', '[24985:24990)', '[25019:25026)']",0,[]
links,[24830:24835),20413485,0,1,0,--,1,['[24985:24990)'],0,[]
guilty,[24921:24927),20413485,0,1,0,--,0,[],0,[]
trial,[24985:24990),20413485,0,1,1,Justice:Trial-Hearing,0,[],0,[]
planning,[25096:25104),20413485,0,1,0,--,1,"['[24985:24990)', '[25212:25218)', '[25378:25385)', '[25426:25432)']",0,[]
attacks,[25109:25116),20413485,0,1,1,Conflict:Attack,1,"['[24913:24920)', '[24985:24990)', '[25212:25218)', '[25378:25385)', '[25426:25432)', '[25480:25488)']",0,[]
arrest,[25426:25432),20413485,0,1,1,Justice:Arrest-Jail,0,[],0,[]
attack,[25554:25560),20413485,0,1,0,--,1,"['[25378:25385)', '[25426:25432)', '[25622:25628)', '[25633:25639)', '[25702:25708)', '[25737:25744)', '[25909:25920)', '[25935:25943)', '[25948:25956)', '[26083:26091)']",0,[]
arrest,[25622:25628),20413485,0,1,0,--,0,[],0,[]
arrest,[25702:25708),20413485,0,1,0,--,1,"['[25426:25432)', '[25480:25488)', '[25737:25744)', '[25909:25920)', '[25935:25943)', '[25948:25956)']",0,[]
responsible,[25858:25869),20413485,0,1,0,--,1,"['[25622:25628)', '[25633:25639)', '[25702:25708)', '[25737:25744)', '[25909:25920)', '[25935:25943)', '[25948:25956)', '[26014:26021)', '[26060:26066)', '[26083:26091)', '[26118:26124)', '[26276:26282)']",0,[]
attacks,[25885:25892),20413485,0,1,0,--,1,"['[25480:25488)', '[25622:25628)', '[25633:25639)', '[25702:25708)', '[25737:25744)', '[25909:25920)', '[25935:25943)', '[25948:25956)', '[26014:26021)', '[26060:26066)', '[26083:26091)', '[26118:26124)', '[26276:26282)', '[26339:26347)']",0,[]
request,[26014:26021),20413485,0,1,0,--,0,[],0,[]
arrest,[26060:26066),20413485,0,1,0,--,1,['[26276:26282)'],0,[]
established,[26461:26472),20413485,0,1,0,--,1,"['[26512:26525)', '[26534:26542)', '[26731:26739)']",0,[]
interrogation,[26512:26525),20413485,0,1,0,--,0,[],0,[]
survey,[26641:26647),20413485,0,1,0,--,1,['[26731:26739)'],0,[]
attacks,[26983:26990),20413485,0,1,1,Conflict:Attack,1,"['[27051:27059)', '[27101:27107)', '[27233:27242)']",0,[]
According,[27233:27242),20413485,0,1,0,--,0,[],0,[]
attacks,[27621:27628),20413485,0,1,1,Conflict:Attack,1,"['[27728:27736)', '[27916:27924)']",0,[]
attacks,[27816:27823),20413485,0,1,1,Conflict:Attack,1,"['[27540:27549)', '[27656:27663)', '[27894:27901)', '[27916:27924)', '[27989:27994)', '[28069:28077)', '[28096:28102)', '[28181:28185)', '[28235:28242)', '[28273:28278)', '[28413:28416)', '[28435:28441)', '[28525:28531)', '[28576:28583)']",0,[]
attacks,[27894:27901),20413485,0,1,1,Conflict:Attack,1,"['[28069:28077)', '[28096:28102)', '[28181:28185)', '[28235:28242)', '[28413:28416)', '[28435:28441)']",0,[]
attacks,[27981:27988),20413485,0,1,1,Conflict:Attack,1,"['[28069:28077)', '[28096:28102)', '[28162:28168)', '[28181:28185)', '[28201:28207)', '[28235:28242)', '[28273:28278)', '[28402:28409)', '[28413:28416)', '[28435:28441)', '[28525:28531)', '[28576:28583)']",0,[]
events,[28162:28168),20413485,0,1,0,--,1,"['[28181:28185)', '[28235:28242)', '[28273:28278)', '[28413:28416)', '[28435:28441)', '[28525:28531)', '[28576:28583)']",0,[]
attack,[28201:28207),20413485,0,1,1,Conflict:Attack,1,"['[28069:28077)', '[28096:28102)', '[28402:28409)', '[28413:28416)', '[28435:28441)', '[28525:28531)', '[28576:28583)']",0,[]
respond,[28235:28242),20413485,0,1,0,--,0,[],0,[]
crisis,[28366:28372),20413485,0,1,0,--,1,"['[28413:28416)', '[28435:28441)', '[28525:28531)', '[28576:28583)']",0,[]
buy,[28413:28416),20413485,0,1,0,--,1,"['[28525:28531)', '[28576:28583)']",0,[]
patrol,[28435:28441),20413485,0,1,0,--,0,[],0,[]
create,[28525:28531),20413485,0,1,1,Business:Start-Org,0,[],0,[]
upgrade,[28576:28583),20413485,0,1,0,--,0,[],0,[]
strengthened,[28731:28743),20413485,0,1,0,--,0,[],0,[]
set,[28868:28871),20413485,0,1,1,Business:Start-Org,0,[],0,[]
co,[28883:28885),20413485,0,1,0,--,0,[],0,[]
attacks,[29047:29054),20413485,0,1,1,Conflict:Attack,1,"['[28868:28871)', '[28883:28885)', '[29034:29040)', '[29182:29190)', '[29206:29213)', '[29226:29233)', '[29270:29277)']",0,[]
indulge,[29206:29213),20413485,0,1,0,--,0,[],0,[]
strikes,[29226:29233),20413485,0,1,1,Conflict:Attack,0,[],0,[]
protect,[29270:29277),20413485,0,1,0,--,0,[],0,[]
attack,[29600:29606),20413485,0,1,1,Conflict:Attack,1,"['[29270:29277)', '[29663:29667)', '[29710:29715)', '[29799:29807)', '[29814:29817)']",0,[]
probe,[29607:29612),20413485,0,1,0,--,1,"['[29663:29667)', '[29710:29715)', '[29814:29817)']",0,[]
share,[29710:29715),20413485,0,1,0,--,0,[],0,[]
set,[29814:29817),20413485,0,1,1,Business:Start-Org,1,['[30210:30216)'],0,[]
concerns,[30153:30161),20413485,0,1,0,--,1,['[30335:30340)'],0,[]
launch,[30210:30216),20413485,0,1,0,--,0,[],0,[]
co,[30257:30259),20413485,0,1,0,--,0,[],0,[]
talks,[30283:30288),20413485,0,1,1,Contact:Meet,1,"['[30210:30216)', '[30257:30259)', '[30386:30396)', '[30513:30522)']",0,[]
start,[30335:30340),20413485,0,1,0,--,0,[],0,[]
moving,[30341:30347),20413485,0,1,1,Movement:Transport,0,[],0,[]
attacks,[30431:30438),20413485,0,1,0,--,1,"['[30210:30216)', '[30257:30259)', '[30324:30331)', '[30335:30340)', '[30341:30347)', '[30513:30522)', '[30563:30569)', '[30599:30608)']",0,[]
fiddle,[30563:30569),20413485,0,1,0,--,0,[],0,[]
reactions,[30599:30608),20413485,0,1,0,--,0,[],0,[]
reactions,[30845:30854),20413485,0,1,0,--,1,['[31107:31111)'],0,[]
attack,[30862:30868),20413485,0,1,0,--,1,"['[30513:30522)', '[31070:31079)', '[31096:31103)', '[31107:31111)', '[31323:31330)']",0,[]
tour,[30945:30949),20413485,0,1,0,--,1,"['[31107:31111)', '[31323:31330)']",0,[]
remarks,[30988:30995),20413485,0,1,0,--,1,"['[31107:31111)', '[31323:31330)']",0,[]
attacks,[31005:31012),20413485,0,1,0,--,1,"['[31070:31079)', '[31096:31103)', '[31107:31111)', '[31145:31152)', '[31323:31330)', '[31355:31363)']",0,[]
attacks,[31084:31091),20413485,0,1,0,--,1,"['[31323:31330)', '[31355:31363)']",0,[]
bury,[31107:31111),20413485,0,1,0,--,1,['[31323:31330)'],0,[]
attacks,[31165:31172),20413485,0,1,0,--,1,"['[31107:31111)', '[31323:31330)', '[31355:31363)', '[31467:31475)']",0,[]
observe,[31323:31330),20413485,0,1,0,--,0,[],0,[]
mourning,[31355:31363),20413485,0,1,0,--,0,[],0,[]
requests,[31451:31459),20413485,0,1,0,--,1,"['[31323:31330)', '[31355:31363)', '[31554:31563)', '[31651:31657)']",0,[]
increase,[31467:31475),20413485,0,1,0,--,0,[],0,[]
attacks,[31510:31517),20413485,0,1,0,--,1,['[31651:31657)'],0,[]
movements,[31554:31563),20413485,0,1,0,--,0,[],0,[]
vigils,[31651:31657),20413485,0,1,0,--,0,[],0,[]
attacks,[31742:31749),20413485,0,1,0,--,1,"['[31789:31792)', '[31827:31832)']",0,[]
taking,[31807:31813),20413485,0,1,0,--,1,"['[31651:31657)', '[31971:31981)', '[31998:32008)', '[32103:32112)']",0,[]
reach,[31827:31832),20413485,0,1,0,--,0,[],0,[]
condemning,[31971:31981),20413485,0,1,0,--,0,[],0,[]
attacks,[32352:32359),20413485,0,1,1,Conflict:Attack,1,"['[32386:32389)', '[32466:32475)']",0,[]
complicit,[32719:32728),20413485,0,1,0,--,0,[],0,[]
attacks,[32743:32750),20413485,0,1,1,Conflict:Attack,1,"['[32466:32475)', '[32657:32663)', '[32778:32784)', '[32828:32838)', '[32954:32961)', '[33024:33033)', '[33064:33070)', '[33127:33136)', '[33180:33186)']",0,[]
attack,[32778:32784),20413485,0,1,1,Conflict:Attack,1,"['[32466:32475)', '[32657:32663)', '[32719:32728)', '[32954:32961)', '[33011:33020)', '[33024:33033)', '[33064:33070)', '[33084:33095)', '[33127:33136)', '[33180:33186)']",0,[]
attacks,[32891:32898),20413485,0,1,1,Conflict:Attack,1,"['[32657:32663)', '[32954:32961)', '[33011:33020)', '[33024:33033)', '[33064:33070)', '[33084:33095)', '[33127:33136)', '[33180:33186)', '[33266:33271)', '[33281:33289)', '[33363:33368)']",0,[]
unwilling,[33011:33020),20413485,0,1,0,--,1,['[33127:33136)'],0,[]
represent,[33024:33033),20413485,0,1,0,--,0,[],0,[]
proclaiming,[33084:33095),20413485,0,1,0,--,1,['[33266:33271)'],0,[]
represent,[33127:33136),20413485,0,1,0,--,0,[],0,[]
found,[33266:33271),20413485,0,1,0,--,0,[],0,[]
attacks,[33643:33650),20413485,0,1,1,Conflict:Attack,1,"['[33511:33516)', '[33545:33552)', '[33575:33583)', '[33885:33893)', '[34077:34086)']",0,[]
deserved,[33671:33679),20413485,0,1,0,--,1,['[33575:33583)'],0,[]
roaming,[33852:33859),20413485,0,1,0,--,1,"['[33575:33583)', '[33885:33893)', '[33977:33983)', '[34049:34054)', '[34055:34064)', '[34077:34086)', '[34127:34132)']",0,[]
addressed,[34021:34030),20413485,0,1,0,--,1,"['[34077:34086)', '[34127:34132)']",0,[]
trial,[34049:34054),20413485,0,1,1,Justice:Trial-Hearing,1,['[34077:34086)'],0,[]
killing,[34163:34170),20413485,0,1,1,Life:Die,1,"['[33977:33983)', '[34021:34030)', '[34049:34054)', '[34055:34064)', '[34077:34086)', '[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34569:34579)', '[34637:34643)', '[34727:34732)']",0,[]
conspiracy,[34185:34195),20413485,0,1,0,--,1,"['[34077:34086)', '[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34727:34732)']",0,[]
commit,[34199:34205),20413485,0,1,0,--,1,"['[34077:34086)', '[34410:34419)', '[34432:34439)', '[34533:34539)', '[34637:34643)', '[34727:34732)']",0,[]
murder,[34206:34212),20413485,0,1,1,Life:Die,1,"['[34077:34086)', '[34410:34419)']",0,[]
deaths,[34221:34227),20413485,0,1,1,Life:Die,1,"['[33885:33893)', '[33977:33983)', '[34021:34030)', '[34049:34054)', '[34055:34064)', '[34077:34086)', '[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34569:34579)', '[34584:34590)', '[34637:34643)', '[34684:34690)', '[34727:34732)']",0,[]
killed,[34246:34252),20413485,0,1,1,Life:Die,1,"['[33977:33983)', '[34021:34030)', '[34049:34054)', '[34055:34064)', '[34077:34086)', '[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34569:34579)', '[34584:34590)', '[34637:34643)', '[34684:34690)', '[34727:34732)']",0,[]
siege,[34277:34282),20413485,0,1,1,Conflict:Attack,1,"['[34077:34086)', '[34410:34419)', '[34432:34439)', '[34533:34539)', '[34727:34732)']",0,[]
causing,[34310:34317),20413485,0,1,0,--,1,['[34432:34439)'],0,[]
conspiracy,[34333:34343),20413485,0,1,0,--,1,"['[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34569:34579)', '[34637:34643)', '[34727:34732)']",0,[]
murder,[34347:34353),20413485,0,1,1,Life:Die,1,"['[34410:34419)', '[34432:34439)', '[34453:34461)', '[34533:34539)', '[34569:34579)', '[34584:34590)', '[34637:34643)', '[34684:34690)', '[34727:34732)']",0,[]
hanging,[34432:34439),20413485,0,1,0,--,0,[],0,[]
appeal,[34584:34590),20413485,0,1,1,Justice:Appeal,1,"['[34637:34643)', '[34727:34732)']",0,[]
award,[34727:34732),20413485,0,1,0,--,0,[],0,[]
verdict,[34852:34859),20413485,0,1,0,--,1,['[34727:34732)'],0,[]
appeal,[34881:34887),20413485,0,1,1,Justice:Appeal,1,['[34727:34732)'],0,[]
arguments,[35004:35013),20413485,0,1,0,--,1,"['[34727:34732)', '[35162:35168)']",0,[]
trial,[35052:35057),20413485,0,1,1,Justice:Trial-Hearing,0,[],0,[]
operation,[35242:35251),20413485,0,1,0,--,1,"['[35289:35297)', '[35382:35386)']",0,[]
hanging,[35336:35343),20413485,0,1,1,Life:Die,1,"['[35371:35378)', '[35382:35386)', '[35414:35419)', '[35456:35460)', '[35473:35480)', '[35525:35534)', '[35571:35576)', '[35599:35604)', '[35673:35681)']",0,[]
take,[35382:35386),20413485,0,1,0,--,0,[],0,[]
hanging,[35473:35480),20413485,0,1,1,Life:Die,1,"['[35382:35386)', '[35414:35419)', '[35525:35534)', '[35599:35604)', '[35673:35681)']",0,[]
plot,[35648:35652),20413485,0,1,0,--,1,"['[35382:35386)', '[35473:35480)', '[35673:35681)', '[35840:35845)', '[35896:35900)', '[36057:36062)']",0,[]
trial,[35840:35845),20413485,0,1,1,Justice:Trial-Hearing,1,"['[35896:35900)', '[36057:36062)']",0,[]
done,[36042:36046),20413485,0,1,0,--,1,"['[35896:35900)', '[36211:36217)', '[36247:36253)', '[36271:36282)']",0,[]
bring,[36057:36062),20413485,0,1,0,--,0,[],0,[]
attacks,[36087:36094),20413485,0,1,1,Conflict:Attack,1,"['[35840:35845)', '[35896:35900)', '[36200:36207)', '[36211:36217)', '[36247:36253)', '[36271:36282)', '[36388:36397)', '[36549:36556)']",0,[]
travel,[36211:36217),20413485,0,1,1,Movement:Transport,0,[],0,[]
gather,[36247:36253),20413485,0,1,0,--,0,[],0,[]
prosecution,[36271:36282),20413485,0,1,1,Justice:Trial-Hearing,0,[],0,[]
attacks,[36327:36334),20413485,0,1,1,Conflict:Attack,1,"['[35896:35900)', '[36015:36019)', '[36057:36062)', '[36370:36376)', '[36388:36397)', '[36549:36556)', '[36650:36655)']",0,[]
examining,[36388:36397),20413485,0,1,0,--,0,[],0,[]
trial,[36650:36655),20413485,0,1,1,Justice:Trial-Hearing,0,[],0,[]
filed,[36785:36790),20413485,0,1,0,--,1,"['[36650:36655)', '[36656:36663)', '[36903:36907)', '[37109:37113)', '[37133:37140)']",0,[]
take,[36903:36907),20413485,0,1,0,--,0,[],0,[]
allows,[37032:37038),20413485,0,1,0,--,0,[],0,[]
examination,[37051:37062),20413485,0,1,0,--,1,['[37313:37319)'],0,[]
make,[37109:37113),20413485,0,1,0,--,0,[],0,[]
sending,[37133:37140),20413485,0,1,1,Movement:Transport,0,[],0,[]
ruling,[37206:37212),20413485,0,1,0,--,1,"['[37109:37113)', '[37133:37140)', '[37428:37433)']",0,[]
collected,[37247:37256),20413485,0,1,0,--,1,"['[37051:37062)', '[37109:37113)', '[37133:37140)', '[37428:37433)', '[37469:37476)']",0,[]
punish,[37313:37319),20413485,0,1,0,--,0,[],0,[]
involved,[37330:37338),20413485,0,1,0,--,1,"['[37051:37062)', '[37109:37113)', '[37133:37140)', '[37408:37415)', '[37428:37433)', '[37442:37455)', '[37469:37476)', '[37516:37521)']",0,[]
attack,[37346:37352),20413485,0,1,1,Conflict:Attack,1,"['[36903:36907)', '[36995:37000)', '[37032:37038)', '[37051:37062)', '[37080:37087)', '[37109:37113)', '[37133:37140)', '[37408:37415)', '[37428:37433)', '[37442:37455)', '[37463:37468)', '[37469:37476)', '[37516:37521)', '[37570:37576)', '[37581:37589)']",0,[]
investigation,[37442:37455),20413485,0,1,0,--,0,[],0,[]
cross,[37463:37468),20413485,0,1,0,--,0,[],0,[]
examine,[37469:37476),20413485,0,1,0,--,0,[],0,[]
visit,[37516:37521),20413485,0,1,0,--,1,"['[37428:37433)', '[37442:37455)', '[37469:37476)']",0,[]
success,[37555:37562),20413485,0,1,0,--,1,"['[37313:37319)', '[37428:37433)', '[37442:37455)', '[37469:37476)']",0,[]
report,[37570:37576),20413485,0,1,0,--,1,"['[37428:37433)', '[37469:37476)']",0,[]
testimony,[37720:37729),20413485,0,1,0,--,0,[],0,[]
plotting,[38079:38087),20413485,0,1,0,--,1,"['[37801:37809)', '[38162:38171)', '[38237:38244)', '[38419:38428)']",0,[]
attacks,[38104:38111),20413485,0,1,1,Conflict:Attack,1,"['[37801:37809)', '[38162:38171)', '[38237:38244)', '[38419:38428)', '[38529:38537)']",0,[]
attacks,[38280:38287),20413485,0,1,1,Conflict:Attack,1,"['[38066:38075)', '[38121:38125)', '[38162:38171)', '[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)', '[38662:38669)', '[38700:38706)']",0,[]
conspiracy,[38299:38309),20413485,0,1,0,--,1,"['[38162:38171)', '[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)']",0,[]
commit,[38313:38319),20413485,0,1,0,--,1,"['[38162:38171)', '[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)']",0,[]
murder,[38320:38326),20413485,0,1,1,Life:Die,1,"['[38162:38171)', '[38419:38428)', '[38484:38494)', '[38529:38537)', '[38589:38593)']",0,[]
aiding,[38340:38346),20413485,0,1,0,--,1,"['[38162:38171)', '[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)']",0,[]
abetting,[38351:38359),20413485,0,1,0,--,1,"['[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)']",0,[]
murder,[38367:38373),20413485,0,1,1,Life:Die,1,"['[38066:38075)', '[38121:38125)', '[38162:38171)', '[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38589:38593)', '[38662:38669)', '[38700:38706)', '[38798:38807)']",0,[]
plea,[38464:38468),20413485,0,1,0,--,1,['[38589:38593)'],0,[]
extradited,[38484:38494),20413485,0,1,1,Movement:Transport,0,[],0,[]
attack,[38623:38629),20413485,0,1,1,Conflict:Attack,1,"['[38419:38428)', '[38464:38468)', '[38484:38494)', '[38529:38537)', '[38662:38669)', '[38700:38706)', '[38798:38807)', '[38919:38923)', '[39115:39123)', '[39139:39146)']",0,[]
attacks,[38843:38850),20413485,0,1,1,Conflict:Attack,1,"['[38419:38428)', '[38529:38537)', '[38589:38593)', '[38662:38669)', '[38700:38706)', '[38919:38923)', '[39115:39123)', '[39139:39146)', '[39231:39240)']",0,[]
attacks,[38992:38999),20413485,0,1,1,Conflict:Attack,1,"['[38589:38593)', '[38700:38706)', '[38798:38807)', '[38919:38923)', '[39231:39240)']",0,[]
attacks,[39385:39392),20413485,0,1,1,Conflict:Attack,1,"['[39115:39123)', '[39139:39146)', '[39231:39240)', '[39498:39507)', '[39547:39552)', '[39622:39629)', '[39817:39826)']",0,[]
linked,[39675:39681),20413485,0,1,0,--,1,['[39817:39826)'],0,[]
attack,[39689:39695),20413485,0,1,1,Conflict:Attack,1,"['[39498:39507)', '[39781:39786)', '[39817:39826)']",0,[]
attacks,[37:44),20413485,0,0,1,Conflict:Attack,0,[],0,[]
shooting,[249:257),20413485,0,0,1,Conflict:Attack,0,[],0,[]
bombing,[262:269),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[537:544),20413485,0,0,1,Conflict:Attack,0,[],0,[]
warfare,[3361:3368),20413485,0,0,1,Conflict:Attack,0,[],0,[]
use,[3754:3757),20413485,0,0,1,Conflict:Attack,0,[],0,[]
fire,[6025:6029),20413485,0,0,1,Conflict:Attack,0,[],0,[]
one,[6993:6996),20413485,0,0,1,Conflict:Attack,0,[],0,[]
casualties,[9389:9399),20413485,0,0,1,Life:Injure,0,[],0,[]
Injuries,[10152:10160),20413485,0,0,1,Life:Injure,0,[],0,[]
arrest,[13408:13414),20413485,0,0,1,Justice:Arrest-Jail,0,[],0,[]
arrest,[14735:14741),20413485,0,0,1,Justice:Arrest-Jail,0,[],0,[]
former,[15825:15831),20413485,0,0,1,Personnel:End-Position,0,[],0,[]
attack,[16851:16857),20413485,0,0,1,Conflict:Attack,0,[],0,[]
sailing,[18682:18689),20413485,0,0,1,Movement:Transport,0,[],0,[]
dead,[21445:21449),20413485,0,0,1,Life:Die,0,[],0,[]
killed,[22493:22499),20413485,0,0,1,Life:Die,0,[],0,[]
terrorism,[24572:24581),20413485,0,0,1,Conflict:Attack,0,[],0,[]
charges,[24939:24946),20413485,0,0,1,Justice:Charge-Indict,0,[],0,[]
attacks,[25273:25280),20413485,0,0,1,Conflict:Attack,0,[],0,[]
paid,[26827:26831),20413485,0,0,1,Transaction:Transfer-Money,0,[],0,[]
dead,[27002:27006),20413485,0,0,1,Life:Die,0,[],0,[]
dead,[27087:27091),20413485,0,0,1,Life:Die,0,[],0,[]
torture,[27117:27124),20413485,0,0,1,Life:Injure,0,[],0,[]
casualties,[27462:27472),20413485,0,0,1,Life:Die,0,[],0,[]
compensation,[27559:27571),20413485,0,0,1,Transaction:Transfer-Money,0,[],0,[]
claims,[27790:27796),20413485,0,0,1,Justice:Sue,0,[],0,[]
war,[28191:28194),20413485,0,0,1,Conflict:Attack,0,[],0,[]
conference,[28681:28691),20413485,0,0,1,Contact:Meet,0,[],0,[]
battle,[28751:28757),20413485,0,0,1,Conflict:Attack,0,[],0,[]
terrorism,[28767:28776),20413485,0,0,1,Conflict:Attack,0,[],0,[]
terrorism,[28911:28920),20413485,0,0,1,Conflict:Attack,0,[],0,[]
war,[29409:29412),20413485,0,0,1,Conflict:Attack,0,[],0,[]
War,[29447:29450),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[30217:30224),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[31895:31902),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[31986:31993),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[32117:32124),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[32272:32279),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[32374:32381),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attack,[32537:32543),20413485,0,0,1,Conflict:Attack,0,[],0,[]
attacks,[32610:32617),20413485,0,0,1,Conflict:Attack,0,[],0,[]
lawsuit,[32626:32633),20413485,0,0,1,Justice:Sue,0,[],0,[]
trial,[32944:32949),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
trial,[33225:33230),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
murder,[33426:33432),20413485,0,0,1,Life:Die,0,[],0,[]
war,[33457:33460),20413485,0,0,1,Conflict:Attack,0,[],0,[]
charges,[33487:33494),20413485,0,0,1,Justice:Charge-Indict,0,[],0,[]
trial,[33505:33510),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
charges,[34004:34011),20413485,0,0,1,Justice:Charge-Indict,0,[],0,[]
guilty,[34133:34139),20413485,0,0,1,Justice:Convict,0,[],0,[]
murder,[34143:34149),20413485,0,0,1,Life:Die,0,[],0,[]
war,[34291:34294),20413485,0,0,1,Conflict:Attack,0,[],0,[]
sentence,[34466:34474),20413485,0,0,1,Justice:Sentence,0,[],0,[]
sentence,[34550:34558),20413485,0,0,1,Justice:Sentence,0,[],0,[]
sentence,[34654:34662),20413485,0,0,1,Justice:Sentence,0,[],0,[]
war,[34810:34813),20413485,0,0,1,Conflict:Attack,0,[],0,[]
hearings,[34888:34896),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
prosecution,[35905:35916),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
trial,[36710:36715),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
attacks,[36726:36733),20413485,0,0,1,Conflict:Attack,0,[],0,[]
trial,[37795:37800),20413485,0,0,1,Justice:Trial-Hearing,0,[],0,[]
Battle,[39279:39285),20413485,0,0,1,Conflict:Attack,0,[],0,[]
spanned,[135:142),30214215,1,0,0,--,0,[],1,"['[316:321)', '[379:386)', '[474:484)']"
dated,[316:321),30214215,1,0,0,--,0,[],1,['[474:484)']
signing,[379:386),30214215,1,1,0,--,1,['[684:692)'],1,['[474:484)']
attributed,[474:484),30214215,1,0,0,--,0,[],0,[]
characterized,[876:889),30214215,1,0,0,--,0,[],1,['[474:484)']
broke,[937:942),30214215,1,0,0,--,0,[],1,['[474:484)']
categorized,[1500:1511),30214215,1,0,0,--,0,[],1,['[1646:1654)']
included,[1646:1654),30214215,1,0,0,--,0,[],1,['[1957:1964)']
ran,[1772:1775),30214215,1,0,0,--,0,[],1,"['[1500:1511)', '[1898:1906)', '[1957:1964)', '[2423:2430)']"
intended,[1898:1906),30214215,1,0,0,--,0,[],1,['[2423:2430)']
assumed,[1957:1964),30214215,1,0,0,--,0,[],1,"['[2267:2275)', '[2423:2430)', '[2500:2510)', '[2588:2595)']"
expelled,[2267:2275),30214215,1,1,1,Movement:Transport,1,['[2309:2315)'],1,"['[2423:2430)', '[2500:2510)', '[2588:2595)', '[2726:2730)', '[2853:2861)']"
claimed,[2423:2430),30214215,1,0,0,--,0,[],1,"['[2726:2730)', '[2853:2861)']"
criticized,[2500:2510),30214215,1,0,0,--,0,[],1,"['[2423:2430)', '[2853:2861)']"
alleged,[2588:2595),30214215,1,0,0,--,0,[],1,"['[2423:2430)', '[2853:2861)']"
handed,[2655:2661),30214215,1,1,1,Transaction:Transfer-Ownership,1,"['[2853:2861)', '[2870:2876)', '[3308:3314)']",1,"['[2423:2430)', '[2853:2861)', '[2870:2876)', '[2954:2961)', '[3162:3174)', '[3256:3263)', '[3482:3491)']"
said,[2726:2730),30214215,1,0,0,--,0,[],1,"['[2853:2861)', '[2954:2961)']"
used,[2744:2748),30214215,1,1,0,--,1,['[2853:2861)'],1,"['[2423:2430)', '[2853:2861)', '[2870:2876)', '[2954:2961)', '[3256:3263)']"
reported,[2853:2861),30214215,1,1,0,--,0,[],0,[]
joined,[2870:2876),30214215,1,1,0,--,0,[],1,"['[2588:2595)', '[2726:2730)', '[3162:3174)', '[3256:3263)', '[3482:3491)']"
alleged,[2954:2961),30214215,1,1,0,--,0,[],0,[]
assisted,[2970:2978),30214215,1,1,0,--,1,['[3308:3314)'],1,"['[2588:2595)', '[2726:2730)', '[3162:3174)', '[3256:3263)', '[3482:3491)']"
fought,[2983:2989),30214215,1,1,1,Conflict:Attack,1,"['[3308:3314)', '[3315:3322)']",1,"['[2588:2595)', '[2726:2730)', '[3162:3174)', '[3256:3263)', '[3482:3491)']"
organised,[3056:3065),30214215,1,0,0,--,0,[],1,"['[2423:2430)', '[2500:2510)', '[2588:2595)', '[2726:2730)', '[2853:2861)', '[2870:2876)', '[2954:2961)', '[2970:2978)', '[2983:2989)', '[3343:3346)', '[3482:3491)', '[3586:3593)']"
